straat,huisnummer,huisletter,huistoevoeging,woonplaats,postcode,oppervlakte,gebruiksdoel,full_address
Prins Alexanderweg,2,,21,Huis ter Heide,3712 AA,47,woonfunctie,Prins Alexanderweg 2  21 3712 AA Huis ter Heide
Olivierstraat,6,,,Axel,4571 AZ,94,woonfunctie,Olivierstraat 6   4571 AZ Axel
Californiëweg,267,,,De Koog,1796PH,51,logiesfunctie,Californiëweg 267   1796PH De Koog
Wolphaertsbocht,75,C,,Rotterdam,3082 AE,87,woonfunctie,Wolphaertsbocht 75 C  3082 AE Rotterdam
Molenweg,18,,,Schore,4423PD,147,woonfunctie,Molenweg 18   4423PD Schore
Dorpsdijk,113,d,,Rhoon,3161 CA,75,woonfunctie,Dorpsdijk 113 d  3161 CA Rhoon
Blokmoeren,52,,,Breda,4824JP,116,woonfunctie,Blokmoeren 52   4824JP Breda
Populierenlaan,19,,,Bosch en Duin,3735LG,330,woonfunctie,Populierenlaan 19   3735LG Bosch en Duin
Leilat,93,,,Hooglanderveen,3829ET,113,woonfunctie,Leilat 93   3829ET Hooglanderveen
Arkenpark Mur,37,,,Vinkeveen,3645EH,-1,,Arkenpark Mur 37   3645EH Vinkeveen
De Bolder,55,,,Drachten,9206AP,556,industriefunctie,De Bolder 55   9206AP Drachten
Leopoldstraat,135,,,Alkmaar,1822 KE,102,woonfunctie,Leopoldstraat 135   1822 KE Alkmaar
Verlengde Frederikstraat,20,,,Groningen,9724NE,66,woonfunctie,Verlengde Frederikstraat 20   9724NE Groningen
Bokkerijder,2,,,Bergeijk,5571MX,594,industriefunctie,Bokkerijder 2   5571MX Bergeijk
Maria Margaretalaan,26,,,Abbenes,2157NN,92,woonfunctie,Maria Margaretalaan 26   2157NN Abbenes
Forel,308,,,Amersfoort,3824LH,99,woonfunctie,Forel 308   3824LH Amersfoort
Kuinderweg,36,,,Luttelgeest,8315PW,897,industriefunctie,Kuinderweg 36   8315PW Luttelgeest
Winterakoniet,43,,,Leeuwarden,8935JN,133,woonfunctie,Winterakoniet 43   8935JN Leeuwarden
Inlaagpolder,5,,,Spaarndam,2064KN,234,woonfunctie,Inlaagpolder 5   2064KN Spaarndam
Bourgondiëstraat,14,,,Alkmaar,1827 BA,73,woonfunctie,Bourgondiëstraat 14   1827 BA Alkmaar
van Naeltwijckstraat,63,,,Voorburg,2274 NW,74,woonfunctie,van Naeltwijckstraat 63   2274 NW Voorburg
Compagnonsstrjitte,31,,,Gorredijk,8401RL,77,woonfunctie,Compagnonsstrjitte 31   8401RL Gorredijk
Buitendams,174,,,Hardinxveld-Giessendam,3371 BP,151,woonfunctie,Buitendams 174   3371 BP Hardinxveld-Giessendam
Stephensonstraat,78,,,Haarlem,2014 KE,113,woonfunctie,Stephensonstraat 78   2014 KE Haarlem
Kometenlaan,56,,G005,Hoogeveen,7904 CN,15,overige gebruiksfunctie,Kometenlaan 56  G005 7904 CN Hoogeveen
Albrecht Thaerlaan,18,,,Utrecht,3571 EB,104,woonfunctie,Albrecht Thaerlaan 18   3571 EB Utrecht
Hunenborglaan,85,,GR4,Oldenzaal,7576 XN,16,overige gebruiksfunctie,Hunenborglaan 85  GR4 7576 XN Oldenzaal
Broedershof,93,,,Veghel,5462EG,87,woonfunctie,Broedershof 93   5462EG Veghel
De Sitterlaan,1,,,Veldhoven,5505AA,293,woonfunctie,De Sitterlaan 1   5505AA Veldhoven
Lisdodde,40,,,Nijverdal,7443NG,136,woonfunctie,Lisdodde 40   7443NG Nijverdal
Veldweg,22,,792,Nooitgedacht,9449 PW,82,logiesfunctie,Veldweg 22  792 9449 PW Nooitgedacht
Klappenburgstraat,3,p,,Bemmel,6681 XN,90,woonfunctie,Klappenburgstraat 3 p  6681 XN Bemmel
Oranjestraat,38,,,Hardinxveld-Giessendam,3373AL,145,woonfunctie,Oranjestraat 38   3373AL Hardinxveld-Giessendam
Jan van Goyenstraat,6,,,Dordrecht,3314HB,119,woonfunctie,Jan van Goyenstraat 6   3314HB Dordrecht
Prins Hendriklaan,376,B,016,Brunssum,6443 AE,27,kantoorfunctie,Prins Hendriklaan 376 B 016 6443 AE Brunssum
Aert van Trichtweg,41,,,Maastricht,6214 PR,72,woonfunctie,Aert van Trichtweg 41   6214 PR Maastricht
Hanendorperweg,102,,005,Emst,8166JJ,-1,,Hanendorperweg 102  005 8166JJ Emst
Overhoff,7,,,Renkum,6871 CZ,108,woonfunctie,Overhoff 7   6871 CZ Renkum
Karbouwstraat,9,,,Nijmegen,6532 AW,73,woonfunctie,Karbouwstraat 9   6532 AW Nijmegen
Schilperoortstraat,85,A,,Rotterdam,3082ST,52,woonfunctie,Schilperoortstraat 85 A  3082ST Rotterdam
Kersenbongerd,15,,,Huissen,6852 BJ,160,woonfunctie,Kersenbongerd 15   6852 BJ Huissen
Huys de Merwede,105,,,Papendrecht,3356 AK,17,overige gebruiksfunctie,Huys de Merwede 105   3356 AK Papendrecht
Jan Maurits van Nassaustraat,43,,,Tilburg,5018 CJ,115,woonfunctie,Jan Maurits van Nassaustraat 43   5018 CJ Tilburg
Van Oost-Frieslandstraat,35,,,Schijndel,5482 GT,107,woonfunctie,Van Oost-Frieslandstraat 35   5482 GT Schijndel
Kroonse Wal,45,,,Arnhem,6844 GW,61,woonfunctie,Kroonse Wal 45   6844 GW Arnhem
Apollo,15,,,Elst,6661JW,171,woonfunctie,Apollo 15   6661JW Elst
Torenstraat,152,,,Wildervank,9648CX,89,woonfunctie,Torenstraat 152   9648CX Wildervank
Schubertkade,13,,,Alkmaar,1817 GA,131,woonfunctie,Schubertkade 13   1817 GA Alkmaar
Klaas Duitstraat,20,,,Den Helder,1782VR,17,overige gebruiksfunctie,Klaas Duitstraat 20   1782VR Den Helder
Burgemeester Dekkingstraat,1,k,014,Bleskensgraaf ca,2971 AC,44,woonfunctie,Burgemeester Dekkingstraat 1 k 014 2971 AC Bleskensgraaf ca
Kluut,26,,,Hoorn,1628CB,103,woonfunctie,Kluut 26   1628CB Hoorn
Sumatrastraat,27,,,Haarlem,2022 XK,94,woonfunctie,Sumatrastraat 27   2022 XK Haarlem
Patersweg,63,,,Dordrecht,3314HT,38,woonfunctie,Patersweg 63   3314HT Dordrecht
Veldweg,22,,551,Nooitgedacht,9449 PW,82,logiesfunctie,Veldweg 22  551 9449 PW Nooitgedacht
Regentessehof,37,,,Oegstgeest,2341LX,14,overige gebruiksfunctie,Regentessehof 37   2341LX Oegstgeest
Balfortstraat,8,A,,Breda,4811 RT,63,woonfunctie,Balfortstraat 8 A  4811 RT Breda
Beneluxlaan,75,,,Enschede,7543XM,77,woonfunctie,Beneluxlaan 75   7543XM Enschede
Doelenstraat,4,a,,IJsselstein,3401 DV,91,woonfunctie,Doelenstraat 4 a  3401 DV IJsselstein
Poortersdreef,133,,,Amersfoort,3824DM,102,woonfunctie,Poortersdreef 133   3824DM Amersfoort
Westersingel,61,,01,Veenendaal,3904 CM,63,woonfunctie,Westersingel 61  01 3904 CM Veenendaal
